time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-13 00:00:00+00:00,148,55,129,44
2025-05-14 00:00:00+00:00,48,30,368,46
2025-05-15 00:00:00+00:00,138,77,167,50
2025-05-16 00:00:00+00:00,159,61,279,41
2025-05-17 00:00:00+00:00,19,14,178,14
2025-05-18 00:00:00+00:00,53,25,136,10
2025-05-19 00:00:00+00:00,1775,194,232,49
2025-05-20 00:00:00+00:00,63,25,156,37
2025-05-21 00:00:00+00:00,102,20,218,52
2025-05-22 00:00:00+00:00,43,26,123,49
2025-05-23 00:00:00+00:00,873,139,214,50
2025-05-24 00:00:00+00:00,50,23,37,20
2025-05-25 00:00:00+00:00,126,14,47,18
2025-05-26 00:00:00+00:00,2168,119,115,43
