time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-22 00:00:00+00:00,51,14,172,48
2025-01-23 00:00:00+00:00,135,21,206,43
2025-01-24 00:00:00+00:00,129,16,93,27
2025-01-25 00:00:00+00:00,7,4,36,14
2025-01-26 00:00:00+00:00,6,5,50,13
2025-01-27 00:00:00+00:00,1549,38,226,49
2025-01-28 00:00:00+00:00,29,9,129,36
2025-01-29 00:00:00+00:00,26,7,157,41
2025-01-30 00:00:00+00:00,41,23,125,49
2025-01-31 00:00:00+00:00,105,65,108,44
2025-02-01 00:00:00+00:00,86,46,83,37
2025-02-02 00:00:00+00:00,43,33,40,17
2025-02-03 00:00:00+00:00,1076,106,238,59
2025-02-04 00:00:00+00:00,79,36,220,52
