time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-09 00:00:00+00:00,12,8,16,11
2024-06-10 00:00:00+00:00,1687,148,157,28
2024-06-11 00:00:00+00:00,270,68,190,33
2024-06-12 00:00:00+00:00,555,97,186,76
2024-06-13 00:00:00+00:00,38,22,188,41
2024-06-14 00:00:00+00:00,276,61,113,32
2024-06-15 00:00:00+00:00,30,12,137,16
2024-06-16 00:00:00+00:00,23,6,73,20
2024-06-17 00:00:00+00:00,729,40,221,48
2024-06-18 00:00:00+00:00,618,101,119,35
2024-06-19 00:00:00+00:00,120,43,88,31
2024-06-20 00:00:00+00:00,133,48,103,33
2024-06-21 00:00:00+00:00,189,47,96,34
2024-06-22 00:00:00+00:00,72,17,128,19
