time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-30 00:00:00+00:00,139,63,124,33
2025-07-31 00:00:00+00:00,755,85,94,34
2025-08-01 00:00:00+00:00,134,60,86,33
2025-08-02 00:00:00+00:00,52,31,162,14
2025-08-03 00:00:00+00:00,43,20,54,24
2025-08-04 00:00:00+00:00,1032,111,176,33
2025-08-05 00:00:00+00:00,2021,243,95,39
2025-08-06 00:00:00+00:00,87,53,135,44
2025-08-07 00:00:00+00:00,65,35,128,44
2025-08-08 00:00:00+00:00,86,28,45,24
2025-08-09 00:00:00+00:00,62,21,17,9
2025-08-10 00:00:00+00:00,95,23,7,6
2025-08-11 00:00:00+00:00,450,71,60,36
2025-08-12 00:00:00+00:00,73,36,63,26
