time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-26 00:00:00+00:00,42,24,73,13
2025-07-27 00:00:00+00:00,123,96,38,15
2025-07-28 00:00:00+00:00,1367,306,88,39
2025-07-29 00:00:00+00:00,1164,115,89,33
2025-07-30 00:00:00+00:00,139,63,124,33
2025-07-31 00:00:00+00:00,755,85,94,34
2025-08-01 00:00:00+00:00,134,60,86,33
2025-08-02 00:00:00+00:00,52,31,162,14
2025-08-03 00:00:00+00:00,43,20,54,24
2025-08-04 00:00:00+00:00,1032,111,176,33
2025-08-05 00:00:00+00:00,2021,243,95,39
2025-08-06 00:00:00+00:00,87,53,135,44
2025-08-07 00:00:00+00:00,65,35,128,44
2025-08-08 00:00:00+00:00,73,23,43,23
