referrer,views_total,views_unique
github.com,355,52
Google,235,78
DuckDuckGo,27,3
dev.to,13,5
featbit.co,10,9
pkg.go.dev,10,4
t.co,7,3
Bing,6,6
fireglass.atlassian.net,6,1
confluence.app.slsp.sk,6,1
