time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-17 00:00:00+00:00,729,40,221,48
2024-06-18 00:00:00+00:00,618,101,119,35
2024-06-19 00:00:00+00:00,120,43,88,31
2024-06-20 00:00:00+00:00,133,48,103,33
2024-06-21 00:00:00+00:00,189,47,96,34
2024-06-22 00:00:00+00:00,73,18,128,19
2024-06-23 00:00:00+00:00,12,9,50,15
2024-06-24 00:00:00+00:00,449,51,129,42
2024-06-25 00:00:00+00:00,49,10,223,45
2024-06-26 00:00:00+00:00,47,14,136,42
2024-06-27 00:00:00+00:00,178,18,140,39
2024-06-28 00:00:00+00:00,87,14,141,50
2024-06-29 00:00:00+00:00,132,14,45,10
2024-06-30 00:00:00+00:00,46,13,78,18
