time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,665,150,456,128
2025-12-28 00:00:00+00:00,1039,298,164,63
2025-12-29 00:00:00+00:00,1421,326,470,131
2025-12-30 00:00:00+00:00,1348,279,160,49
2025-12-31 00:00:00+00:00,175,80,269,61
2026-01-01 00:00:00+00:00,151,46,415,87
2026-01-02 00:00:00+00:00,638,153,648,85
2026-01-03 00:00:00+00:00,86,63,265,65
2026-01-04 00:00:00+00:00,208,119,479,92
2026-01-05 00:00:00+00:00,768,241,330,69
2026-01-06 00:00:00+00:00,647,200,314,87
2026-01-07 00:00:00+00:00,1098,306,243,52
2026-01-08 00:00:00+00:00,839,191,338,68
2026-01-09 00:00:00+00:00,2145,423,520,116
