time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,944,204,154,41
2025-10-11 00:00:00+00:00,117,67,41,22
2025-10-12 00:00:00+00:00,196,88,53,40
2025-10-13 00:00:00+00:00,3500,461,252,101
2025-10-14 00:00:00+00:00,1957,395,299,136
2025-10-15 00:00:00+00:00,1085,345,383,102
2025-10-16 00:00:00+00:00,743,359,208,62
2025-10-17 00:00:00+00:00,482,216,525,124
2025-10-18 00:00:00+00:00,209,101,49,24
2025-10-19 00:00:00+00:00,337,133,85,26
2025-10-20 00:00:00+00:00,3753,349,601,148
2025-10-21 00:00:00+00:00,354,161,465,102
2025-10-22 00:00:00+00:00,439,194,332,86
2025-10-23 00:00:00+00:00,217,90,438,102
