referrer,views_total,views_unique
Google,424,98
github.com,308,90
hub.docker.com,73,2
pkg.go.dev,52,7
DuckDuckGo,23,1
dev.to,7,6
linkedin.com,7,5
featbit.co,6,5
facebook.com,2,2
confluence.tmc-stargate.com,2,2
