time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-07 00:00:00+00:00,51,13,197,37
2024-08-08 00:00:00+00:00,102,18,401,49
2024-08-09 00:00:00+00:00,38,12,215,35
2024-08-10 00:00:00+00:00,38,9,82,11
2024-08-11 00:00:00+00:00,30,12,24,8
2024-08-12 00:00:00+00:00,648,28,400,145
2024-08-13 00:00:00+00:00,72,23,391,65
2024-08-14 00:00:00+00:00,224,20,354,46
2024-08-15 00:00:00+00:00,167,19,440,45
2024-08-16 00:00:00+00:00,209,18,311,89
2024-08-17 00:00:00+00:00,8,7,90,12
2024-08-18 00:00:00+00:00,15,8,121,6
2024-08-19 00:00:00+00:00,1314,34,338,54
2024-08-20 00:00:00+00:00,19,10,232,46
