time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,156,10,191,53
2024-11-20 00:00:00+00:00,89,12,291,59
2024-11-21 00:00:00+00:00,196,14,124,52
2024-11-22 00:00:00+00:00,1002,26,160,44
2024-11-23 00:00:00+00:00,608,27,160,82
2024-11-24 00:00:00+00:00,99,15,213,95
2024-11-25 00:00:00+00:00,359,28,273,87
2024-11-26 00:00:00+00:00,67,17,160,48
2024-11-27 00:00:00+00:00,119,12,191,47
2024-11-28 00:00:00+00:00,15,9,241,88
2024-11-29 00:00:00+00:00,12,5,183,54
2024-11-30 00:00:00+00:00,28,7,32,17
2024-12-01 00:00:00+00:00,19,6,57,19
2024-12-02 00:00:00+00:00,713,32,267,45
