time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-18 00:00:00+00:00,4642,298,101,32
2025-08-19 00:00:00+00:00,64,40,54,22
2025-08-20 00:00:00+00:00,172,54,64,23
2025-08-21 00:00:00+00:00,74,48,55,35
2025-08-22 00:00:00+00:00,91,52,39,27
2025-08-23 00:00:00+00:00,56,42,40,13
2025-08-24 00:00:00+00:00,805,97,79,15
2025-08-25 00:00:00+00:00,2931,363,103,46
2025-08-26 00:00:00+00:00,807,203,268,71
2025-08-27 00:00:00+00:00,119,83,164,43
2025-08-28 00:00:00+00:00,656,193,68,37
2025-08-29 00:00:00+00:00,156,81,77,32
2025-08-30 00:00:00+00:00,65,41,26,17
2025-08-31 00:00:00+00:00,31,25,27,7
