time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-15 00:00:00+00:00,1035,130,259,60
2024-04-16 00:00:00+00:00,46,37,305,53
2024-04-17 00:00:00+00:00,17,9,220,42
2024-04-18 00:00:00+00:00,394,76,477,64
2024-04-19 00:00:00+00:00,439,99,312,38
2024-04-20 00:00:00+00:00,123,39,284,19
2024-04-21 00:00:00+00:00,122,36,56,10
2024-04-22 00:00:00+00:00,1197,138,346,46
2024-04-23 00:00:00+00:00,103,49,348,50
2024-04-24 00:00:00+00:00,434,82,178,35
2024-04-25 00:00:00+00:00,69,44,311,44
2024-04-26 00:00:00+00:00,65,40,134,28
2024-04-27 00:00:00+00:00,35,30,27,16
2024-04-28 00:00:00+00:00,28,26,107,19
