time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,9260,275,177,120
2026-07-17 00:00:00+00:00,3590,393,69,46
2026-07-18 00:00:00+00:00,571,149,101,35
2026-07-19 00:00:00+00:00,258,125,85,35
2026-07-20 00:00:00+00:00,1277,300,160,52
2026-07-21 00:00:00+00:00,2744,403,106,59
2026-07-22 00:00:00+00:00,947,219,118,56
2026-07-23 00:00:00+00:00,1757,312,190,65
2026-07-24 00:00:00+00:00,11277,597,147,59
2026-07-25 00:00:00+00:00,320,136,77,44
2026-07-26 00:00:00+00:00,259,130,106,73
2026-07-27 00:00:00+00:00,1478,310,80,41
2026-07-28 00:00:00+00:00,1048,453,68,33
2026-07-29 00:00:00+00:00,2921,377,96,45
