time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-24 00:00:00+00:00,11277,597,147,59
2026-07-25 00:00:00+00:00,320,136,77,44
2026-07-26 00:00:00+00:00,259,130,106,73
2026-07-27 00:00:00+00:00,1478,310,80,41
2026-07-28 00:00:00+00:00,1048,453,68,33
2026-07-29 00:00:00+00:00,2921,377,96,45
2026-07-30 00:00:00+00:00,943,310,101,47
2026-07-31 00:00:00+00:00,2970,374,83,36
2026-08-01 00:00:00+00:00,154,113,42,15
2026-08-02 00:00:00+00:00,250,135,70,27
2026-08-03 00:00:00+00:00,2037,408,144,82
2026-08-04 00:00:00+00:00,815,277,202,106
2026-08-05 00:00:00+00:00,3667,408,113,55
2026-08-06 00:00:00+00:00,2763,313,139,46
