time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,91,12,310,51
2024-09-07 00:00:00+00:00,49,10,127,18
2024-09-08 00:00:00+00:00,25,6,67,12
2024-09-09 00:00:00+00:00,1002,27,392,55
2024-09-10 00:00:00+00:00,161,16,483,48
2024-09-11 00:00:00+00:00,45,12,545,56
2024-09-12 00:00:00+00:00,31,10,308,43
2024-09-13 00:00:00+00:00,248,13,455,120
2024-09-14 00:00:00+00:00,13,7,174,16
2024-09-15 00:00:00+00:00,4,4,44,12
2024-09-16 00:00:00+00:00,1427,34,618,48
2024-09-17 00:00:00+00:00,245,17,519,50
2024-09-18 00:00:00+00:00,379,16,539,77
2024-09-19 00:00:00+00:00,59,11,356,41
