time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-31 00:00:00+00:00,24,10,295,59
2024-06-01 00:00:00+00:00,26,15,32,10
2024-06-02 00:00:00+00:00,10,6,66,26
2024-06-03 00:00:00+00:00,400,58,493,51
2024-06-04 00:00:00+00:00,132,19,230,47
2024-06-05 00:00:00+00:00,21,11,290,55
2024-06-06 00:00:00+00:00,22,15,189,33
2024-06-07 00:00:00+00:00,60,15,123,28
2024-06-08 00:00:00+00:00,5,5,132,13
2024-06-09 00:00:00+00:00,12,8,16,11
2024-06-10 00:00:00+00:00,1687,148,157,28
2024-06-11 00:00:00+00:00,270,68,190,33
2024-06-12 00:00:00+00:00,555,97,186,76
2024-06-13 00:00:00+00:00,36,20,188,41
