time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-11 00:00:00+00:00,450,71,60,36
2025-08-12 00:00:00+00:00,94,48,63,26
2025-08-13 00:00:00+00:00,53,35,73,35
2025-08-14 00:00:00+00:00,25,11,58,27
2025-08-15 00:00:00+00:00,48,22,90,30
2025-08-16 00:00:00+00:00,29,18,18,15
2025-08-17 00:00:00+00:00,54,27,45,14
2025-08-18 00:00:00+00:00,4642,298,101,32
2025-08-19 00:00:00+00:00,64,40,55,24
2025-08-20 00:00:00+00:00,172,54,18,11
2025-08-21 00:00:00+00:00,74,48,55,35
2025-08-22 00:00:00+00:00,91,52,39,27
2025-08-23 00:00:00+00:00,56,42,40,13
2025-08-24 00:00:00+00:00,37,27,44,14
