time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,249,75,107,30
2025-06-27 00:00:00+00:00,103,36,161,42
2025-06-28 00:00:00+00:00,49,33,19,12
2025-06-29 00:00:00+00:00,92,72,32,11
2025-06-30 00:00:00+00:00,4325,306,110,39
2025-07-01 00:00:00+00:00,315,87,146,39
2025-07-02 00:00:00+00:00,156,89,169,44
2025-07-03 00:00:00+00:00,259,96,145,44
2025-07-04 00:00:00+00:00,284,91,182,34
2025-07-05 00:00:00+00:00,28,17,47,17
2025-07-06 00:00:00+00:00,17,8,25,15
2025-07-07 00:00:00+00:00,1322,170,196,32
2025-07-08 00:00:00+00:00,450,143,139,40
2025-07-09 00:00:00+00:00,52,25,166,80
