time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,1817,355,352,119
2026-01-21 00:00:00+00:00,1292,277,318,104
2026-01-22 00:00:00+00:00,517,154,330,117
2026-01-23 00:00:00+00:00,2067,407,310,119
2026-01-24 00:00:00+00:00,1113,208,323,106
2026-01-25 00:00:00+00:00,127,92,213,93
2026-01-26 00:00:00+00:00,908,215,210,115
2026-01-27 00:00:00+00:00,1035,243,307,121
2026-01-28 00:00:00+00:00,445,151,298,90
2026-01-29 00:00:00+00:00,712,202,231,84
2026-01-30 00:00:00+00:00,2890,443,292,97
2026-01-31 00:00:00+00:00,1648,110,228,82
2026-02-01 00:00:00+00:00,1565,98,86,44
2026-02-02 00:00:00+00:00,796,212,355,90
