time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-04 00:00:00+00:00,67,31,81,28
2025-04-05 00:00:00+00:00,38,29,27,15
2025-04-06 00:00:00+00:00,27,24,58,13
2025-04-07 00:00:00+00:00,2776,172,80,43
2025-04-08 00:00:00+00:00,405,59,193,63
2025-04-09 00:00:00+00:00,43,26,159,54
2025-04-10 00:00:00+00:00,552,123,399,94
2025-04-11 00:00:00+00:00,59,31,124,37
2025-04-12 00:00:00+00:00,10,8,45,22
2025-04-13 00:00:00+00:00,17,8,41,13
2025-04-14 00:00:00+00:00,633,75,146,54
2025-04-15 00:00:00+00:00,2613,206,329,56
2025-04-16 00:00:00+00:00,305,75,209,66
2025-04-17 00:00:00+00:00,100,29,232,53
