referrer,views_total,views_unique
github.com,341,58
Google,323,88
golangweekly.com,60,34
com.google.android.gm,37,20
hub.docker.com,33,3
t.co,30,12
mail.google.com,27,16
pkg.go.dev,16,3
yandex.ru,12,1
Bing,8,3
