time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-13 00:00:00+00:00,17,8,41,13
2025-04-14 00:00:00+00:00,633,75,146,54
2025-04-15 00:00:00+00:00,2613,206,329,56
2025-04-16 00:00:00+00:00,305,75,209,66
2025-04-17 00:00:00+00:00,106,32,236,55
2025-04-18 00:00:00+00:00,225,70,103,31
2025-04-19 00:00:00+00:00,46,26,45,12
2025-04-20 00:00:00+00:00,25,17,27,10
2025-04-21 00:00:00+00:00,2720,148,208,82
2025-04-22 00:00:00+00:00,263,102,192,44
2025-04-23 00:00:00+00:00,123,61,200,42
2025-04-24 00:00:00+00:00,39,17,241,34
2025-04-25 00:00:00+00:00,63,23,166,34
2025-04-26 00:00:00+00:00,118,38,134,15
