time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-02 00:00:00+00:00,1560,412,110,93
2026-07-03 00:00:00+00:00,5022,552,106,72
2026-07-04 00:00:00+00:00,249,125,80,66
2026-07-05 00:00:00+00:00,2168,182,90,73
2026-07-06 00:00:00+00:00,1309,348,101,70
2026-07-07 00:00:00+00:00,2136,380,142,51
2026-07-08 00:00:00+00:00,1105,284,147,82
2026-07-09 00:00:00+00:00,2181,346,167,97
2026-07-10 00:00:00+00:00,3872,503,144,79
2026-07-11 00:00:00+00:00,402,123,99,64
2026-07-12 00:00:00+00:00,372,187,113,80
2026-07-13 00:00:00+00:00,4315,521,109,72
2026-07-14 00:00:00+00:00,1497,386,105,46
2026-07-15 00:00:00+00:00,1714,363,107,50
