time_iso8601,forks_cumulative
2025-09-16 00:00:00+00:00,167
2025-09-19 00:00:00+00:00,168
2025-09-20 00:00:00+00:00,169
2025-09-30 00:00:00+00:00,170
2025-10-11 00:00:00+00:00,171
2025-10-17 00:00:00+00:00,172
2025-10-19 00:00:00+00:00,173
2025-10-21 00:00:00+00:00,174
2025-10-23 00:00:00+00:00,175
2025-10-25 00:00:00+00:00,176
2025-11-08 00:00:00+00:00,177
2025-11-10 00:00:00+00:00,178
2025-11-18 00:00:00+00:00,179
2025-11-22 00:00:00+00:00,180
2025-11-25 00:00:00+00:00,183
2025-12-02 00:00:00+00:00,184
