time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,1458,160,308,40
2024-03-26 00:00:00+00:00,123,48,256,42
2024-03-27 00:00:00+00:00,252,77,215,71
2024-03-28 00:00:00+00:00,22,18,246,37
2024-03-29 00:00:00+00:00,10,7,75,19
2024-03-30 00:00:00+00:00,13,13,25,8
2024-03-31 00:00:00+00:00,7,7,38,15
2024-04-01 00:00:00+00:00,1012,82,207,25
2024-04-02 00:00:00+00:00,49,20,262,35
2024-04-03 00:00:00+00:00,15,12,230,34
2024-04-04 00:00:00+00:00,72,25,367,33
2024-04-05 00:00:00+00:00,200,38,338,40
2024-04-06 00:00:00+00:00,148,42,22,10
2024-04-07 00:00:00+00:00,34,29,64,30
2024-04-08 00:00:00+00:00,1029,119,146,27
2024-04-09 00:00:00+00:00,128,56,575,41
2024-04-10 00:00:00+00:00,103,29,309,51
2024-04-11 00:00:00+00:00,121,16,362,49
2024-04-12 00:00:00+00:00,13,8,124,34
2024-04-13 00:00:00+00:00,7,7,141,17
2024-04-14 00:00:00+00:00,53,10,121,14
2024-04-15 00:00:00+00:00,1035,130,259,60
2024-04-16 00:00:00+00:00,46,37,305,53
2024-04-17 00:00:00+00:00,17,9,220,42
2024-04-18 00:00:00+00:00,394,76,477,64
2024-04-19 00:00:00+00:00,439,99,312,38
2024-04-20 00:00:00+00:00,123,39,284,19
2024-04-21 00:00:00+00:00,122,36,56,10
2024-04-22 00:00:00+00:00,1197,138,346,46
2024-04-23 00:00:00+00:00,103,49,348,50
2024-04-24 00:00:00+00:00,434,82,178,35
2024-04-25 00:00:00+00:00,69,44,311,44
2024-04-26 00:00:00+00:00,65,40,187,31
2024-04-27 00:00:00+00:00,35,30,27,16
2024-04-28 00:00:00+00:00,32,29,107,19
2024-04-29 00:00:00+00:00,1757,156,180,41
2024-04-30 00:00:00+00:00,145,57,302,35
2024-05-01 00:00:00+00:00,47,38,450,28
2024-05-02 00:00:00+00:00,1239,111,209,37
2024-05-03 00:00:00+00:00,840,118,209,47
2024-05-04 00:00:00+00:00,93,57,167,35
2024-05-05 00:00:00+00:00,55,37,87,18
2024-05-06 00:00:00+00:00,350,100,197,36
2024-05-07 00:00:00+00:00,49,42,236,31
2024-05-08 00:00:00+00:00,107,56,114,27
2024-05-09 00:00:00+00:00,55,35,133,37
2024-05-10 00:00:00+00:00,55,37,185,36
2024-05-11 00:00:00+00:00,18,9,69,10
2024-05-12 00:00:00+00:00,38,10,62,11
2024-05-13 00:00:00+00:00,1211,92,195,42
2024-05-14 00:00:00+00:00,108,30,317,43
2024-05-15 00:00:00+00:00,25,10,137,35
2024-05-16 00:00:00+00:00,18,14,429,44
2024-05-17 00:00:00+00:00,1262,105,219,65
2024-05-18 00:00:00+00:00,16,16,289,18
2024-05-19 00:00:00+00:00,13,10,32,14
2024-05-20 00:00:00+00:00,74,26,222,40
2024-05-21 00:00:00+00:00,543,109,292,67
2024-05-22 00:00:00+00:00,63,25,274,38
2024-05-23 00:00:00+00:00,193,57,408,68
2024-05-24 00:00:00+00:00,252,56,393,177
2024-05-25 00:00:00+00:00,39,22,194,49
2024-05-26 00:00:00+00:00,62,20,95,34
2024-05-27 00:00:00+00:00,1594,157,311,69
2024-05-28 00:00:00+00:00,86,31,191,45
2024-05-29 00:00:00+00:00,20,13,286,48
2024-05-30 00:00:00+00:00,56,23,179,37
2024-05-31 00:00:00+00:00,24,10,295,59
2024-06-01 00:00:00+00:00,20,12,32,10
